,identifier,author_all,title,year,journal,nSyllabi,nCites,category
374,graham2012getting,"Graham, Shawn; Weingart, Scott; Milligan, Ian",Getting started with topic modeling and MALLET,2012,,1,32,
375,granger2014forecasting,"Granger, Clive William John; Newbold, Paul",Forecasting economic time series,2014,,1,3767,
376,gray2005vindicating,"Gray, Mark M.; Wuffle, A.",Vindicating Anthony Downs,2005,PS: Political Science \& Politics,1,5,
377,green2001dirty,"Green, Donald P.; Kim, Soo Yeon; Yoon, David H.",Dirty pool,2001,International Organization,1,429,
378,green2012modeling,"Green, Donald P.; Kern, Holger L.",Modeling heterogeneous treatment effects in survey experiments with Bayesian additive regression trees,2012,Public opinion quarterly,1,106,
379,greene2017exploring,"Greene, Derek; Cross, James P.",Exploring the political agenda of the European parliament using a dynamic topic modeling approach,2017,Political Analysis,1,8,
380,grimmer2009bayesian,"Grimmer, Justin",A Bayesian hierarchical topic model for political texts: Measuring expressed agendas in Senate press releases,2009,Political Analysis,13,377,7
381,grimmer2009quantitative,"Grimmer, Justin; King, Gary",Quantitative discovery from qualitative information: A general-purpose document clustering methodology,2009,,1,29,
382,grimmer2010introduction,"Grimmer, Justin",An introduction to Bayesian inference via variational approximations,2010,Political Analysis,1,76,
383,grimmer2011general,"Grimmer, Justin; King, Gary",General purpose computer-assisted clustering and conceptualization,2011,Proceedings of the National Academy of Sciences,7,139,7
384,grimmer2012words,"Grimmer, Justin; Messing, Solomon; Westwood, Sean J.",How words and money cultivate a personal vote: The effect of legislator credit claiming on constituent credit allocation,2012,American Political Science Review,2,121,
385,grimmer2013appropriators,"Grimmer, Justin",Appropriators not position takers: The distorting effects of electoral incentives on congressional representation,2013,American Journal of Political Science,1,90,
386,grimmer2013comment,"Grimmer, Justin",Comment: Evaluating model performance in fictitious prediction problems,2013,Journal of the American Statistical Association,2,3,
387,grimmer2013text,"Grimmer, Justin; Stewart, Brandon M.",Text as data: The promise and pitfalls of automatic content analysis methods for political texts,2013,Political analysis,35,888,1
388,grimmer2014impression,"Grimmer, Justin; Westwood, Sean J.; Messing, Solomon","The impression of influence: legislator communication, representation, and democratic accountability",2014,,1,32,
389,grimmer2014you,"Grimmer, Justin; King, Gary; Superti, Chiara",You Lie! Patterns of Partisan Taunting in the US Senate,2014,"Society for Political Methodology. Athens, GA",1,1,
390,grimmer2015we,"Grimmer, Justin","We are all social scientists now: how big data, machine learning, and causal inference work together",2015,PS: Political Science \& Politics,5,53,1
391,grimmer2017estimating,"Grimmer, Justin; Messing, Solomon; Westwood, Sean J.",Estimating heterogeneous treatment effects and the effects of heterogeneous treatments with ensemble methods,2017,Political Analysis,1,25,
392,groseclose2005measure,"Groseclose, Tim; Milyo, Jeffrey",A measure of media bias,2005,The Quarterly Journal of Economics,1,917,
393,guba1994competing,"Guba, Egon G.; Lincoln, Yvonna S.; others",Competing paradigms in qualitative research,1994,Handbook of qualitative research,1,17127,
394,guerin1998textual,"Guerin-Pace, France",Textual statistics. An exploratory tool for the social sciences,1998,Population: An English Selection,1,31,
395,gurciullo2017detecting,"Gurciullo, Stefano; Mikhaylov, Slava",Detecting policy preferences and dynamics in the un general debate with neural word embeddings,2017,,2,3,
396,guttman1944basis,"Guttman, Louis",A basis for scaling qualitative data,1944,American sociological review,1,1723,
397,hahn2001identification,"Hahn, Jinyong; Todd, Petra; Van der Klaauw, Wilbert",Identification and estimation of treatment effects with a regression-discontinuity design,2001,Econometrica,1,2178,
398,hainmueller2012entropy,"Hainmueller, Jens",Entropy balancing for causal effects: A multivariate reweighting method to produce balanced samples in observational studies,2012,Political Analysis,1,492,
399,hainmueller2013kernel,"Hainmueller, Jens; Hazlett, Chad",Kernel regularized least squares: Reducing misspecification bias with a flexible and interpretable machine learning approach,2013,Political Analysis,1,61,
400,halko2011finding,"Halko, Nathan; Martinsson, Per-Gunnar; Tropp, Joel A.",Finding structure with randomness: Probabilistic algorithms for constructing approximate matrix decompositions,2011,SIAM review,1,1496,
401,halperin2016political,"Halperin, Sandra; Heath, Oliver",Political research: methods and practical skills,2016,,3,142,1
402,hamilton1994time,"Hamilton, James Douglas",Time series analysis,1994,,1,20086,
403,hancke2009intelligent,"Hancke, Bob",Intelligent research design: a guide for beginning researchers in the social sciences,2009,,1,107,
404,hand1996statistics,"Hand, David J.",Statistics and the theory of measurement,1996,Journal of the Royal Statistical Society. Series A (Statistics in Society),1,216,
405,hanna2017mpeds,"Hanna, Alex",MPEDS: Automating the Generation of Protest Event Data,2017,,1,1,
406,hannah2014summarizing,"Hannah, Lauren A.; Wallach, Hanna M.",Summarizing topics: From word lists to phrases,2014,,2,2,
407,hanneman2005introduction,"Hanneman, Robert A.; Riddle, Mark",Introduction to social network methods,2005,,1,4812,
408,hare2015using,"Hare, Christopher; Armstrong, David A.; Bakker, Ryan; Carroll, Royce; Poole, Keith T.",Using Bayesian Aldrich-McKelvey Scaling to Study Citizens' Ideological Preferences and Perceptions,2015,American Journal of Political Science,1,50,
409,harford2014big,"Harford, Tim",Big data: A big mistake?,2014,Significance,1,219,
410,hargittai2015bigger,"Hargittai, Eszter",Is bigger always better? Potential biases of big data derived from social network sites,2015,The ANNALS of the American Academy of Political and Social Science,1,82,
411,hariri2012kausal,"Hariri, Jacob Gerner",Kausal inferens i statskundskaben,2012,Politica,1,10,
412,harmon2007scientific,"Harmon, Joseph E.; Gross, Alan G.",The scientific literature: A guided tour,2007,,1,39,
413,harris1952discourse,"Harris, Zellig S.",Discourse Analysis,1952,Language,1,1637,
414,harris2015s,"Harris, J.  Andrew",What's in a name? A method for extracting information about ethnicity from names,2015,Political Analysis,1,10,
415,hart2005evolution,"Hart, Roderick P.; Childers, Jay P.",The evolution of candidate Bush: A rhetorical analysis,2005,American Behavioral Scientist,1,44,
416,haselmayer2017sentiment,"Haselmayer, Martin; Jenny, Marcelo",Sentiment analysis of political communication: combining a dictionary approach with crowdcoding,2017,Quality \& quantity,1,11,
417,hastie2001elements,"Hastie, Trevor; Tibshirani, Robert; Friedman, Jerome",The Elements of Statistical LearninE,2001,,1,444,
418,hastie2009unsupervised,"Hastie, Trevor; Tibshirani, Robert; Friedman, Jerome",Unsupervised learning,2009,,8,37332,7
419,haushofer2014psychology,"Haushofer, Johannes; Fehr, Ernst",On the psychology of poverty,2014,Science,1,397,
420,hayes2007answering,"Hayes, Andrew F.; Krippendorff, Klaus",Answering the call for a standard reliability measure for coding data,2007,Communication methods and measures,2,2047,
421,he2009learning,"He, Haibo; Garcia, Edwardo A.",Learning from imbalanced data,2009,IEEE Transactions on knowledge and data engineering,1,2858,
422,healy2014data,"Healy, Kieran; Moody, James",Data visualization in sociology,2014,Annual review of sociology,1,58,
423,heckman1997linear,"Heckman, James J.; Snyder, James M.","Linear Probability Models of the Demand for Attributes with an Empirical Application to Estimating the Preferences of Legislators, 28 RAND J",1997,ECON. S,1,455,
424,hedstrom2006experimental,"Hedstrom, Peter",Experimental macro sociology: Predicting the next best seller,2006,Science,1,37,
425,helsloot2008pecheux,"Helsloot, Niels; Hak, Tony",P\^echeux's contribution to discourse analysis,2008,Historical Social Research/Historische Sozialforschung,1,34,
426,hernan2010causal,"Hernan, Miguel A.; Robins, James M.",Causal inference,2010,,1,323,
427,hersh2013long,"Hersh, Eitan D.",Long-term effect of September 11 on the political behavior of victims families and neighbors,2013,Proceedings of the National Academy of Sciences,1,35,
428,hersh2015hacking,"Hersh, Eitan D.",Hacking the electorate: How campaigns perceive voters,2015,,2,93,
429,herzog2015most,"Herzog, Alexander; Benoit, Kenneth",The most unkindest cuts: speaker selection and expressed government dissent during economic crisis,2015,The Journal of Politics,1,21,
430,hickmann2015forecasting,"Hickmann, Kyle S.; Fairchild, Geoffrey; Priedhorsky, Reid; Generous, Nicholas; Hyman, James M.; Deshpande, Alina; Del Valle, Sara Y.",Forecasting the 2013--2014 influenza season using Wikipedia,2015,PLoS computational biology,1,50,
431,hidalgo2007product,"Hidalgo, Cesar A.; Klinger, Bailey; Barabasi, A.-L.; Hausmann, Ricardo",The product space conditions the development of nations,2007,Science,1,1379,
432,hillard2008computer,"Hillard, Dustin; Purpura, Stephen; Wilkerson, John",Computer-assisted topic classification for mixed-methods social science research,2008,Journal of Information Technology \& Politics,6,102,5
433,hirschman1987people,"Hirschman, Elizabeth C.",People as products: Analysis of a complex marketing exchange,1987,The Journal of Marketing,1,218,
434,hirst2014text,"Hirst, Graeme; Riabinin, Yaroslav; Graham, Jory; Boizot-Roche, Magali; Morris, Colin",Text to Ideology or Text to Party Status?,2014,"Kaal, Bertie; Maks, E. Isa; and van Elfrinkhof, Annemarie ME (editors), From Text to Political Positions: Text analysis across disciplines, Amsterdam: John Benjamins",1,12,
435,hjorth2015computers,"Hjorth, Frederik; Klemmensen, Robert; Hobolt, Sara; Hansen, Martin Ejnar; Kurrild-Klitgaard, Peter","Computers, coders, and voters: Comparing automated methods for estimating party positions",2015,Research \& Politics,2,8,
436,ho2007matching,"Ho, Daniel E.; Imai, Kosuke; King, Gary; Stuart, Elizabeth A.",Matching as nonparametric preprocessing for reducing model dependence in parametric causal inference,2007,Political analysis,1,2351,
437,hoff2009first,"Hoff, Peter D.",A first course in Bayesian statistical methods,2009,,1,499,
438,holsti1964measuring,"Holsti, Ole R.; Brody, Richard A.; North, Robert C.",Measuring Affect and Action in Inter National Reaction Models: Empirical Materials From the 1962 Cuban Crisis,1964,Journal of Peace Research,1,108,
439,holsti1969content,"Holsti, Ole R.",Content analysis for the social sciences and humanities,1969,,1,7892,
440,hopkins2010method,"Hopkins, Daniel J.; King, Gary",A method of automated nonparametric content analysis for social science,2010,American Journal of Political Science,12,535,5
441,hopkins2010politicized,"Hopkins, Daniel J.",Politicized places: Explaining where and when immigrants provoke local opposition,2010,American political science review,1,604,
442,hopkins2017does,"Hopkins, Daniel J.; Kim, Eunji; Kim, Soojong",Does newspaper coverage influence or reflect public perceptions of the economy?,2017,Research \& Politics,1,2,
443,hornik2011topicmodels,"Hornik, Kurt; Grun, Bettina",topicmodels: An R package for fitting topic models,2011,Journal of Statistical Software,1,356,
444,horton2011online,"Horton, John J.; Rand, David G.; Zeckhauser, Richard J.",The online laboratory: Conducting experiments in a real labor market,2011,Experimental economics,1,942,
445,howe1988against,"Howe, Kenneth R.",Against the quantitative-qualitative incompatibility thesis or dogmas die hard,1988,Educational researcher,1,1341,
446,howell1983comparative,"Howell, Llewellyn D.",A comparative study of the WEIS and COPDAB data sets,1983,International Studies Quarterly,1,94,
447,hsieh2005three,"Hsieh, Hsiu-Fang; Shannon, Sarah E.",Three approaches to qualitative content analysis,2005,Qualitative health research,1,15504,
448,hu2004mining,"Hu, Minqing; Liu, Bing",Mining and summarizing customer reviews,2004,,3,5204,5
449,hudson2008discrete,"Hudson, Valerie M.; Schrodt, Philip A.; Whitmer, Ray D.",Discrete sequence rule models as a social science methodology: An exploratory analysis of foreign policy rule enactment within Palestinian--Israeli event data,2008,Foreign Policy Analysis,1,19,
450,hyde2007observer,"Hyde, Susan D.",The observer effect in international politics: Evidence from a natural experiment,2007,World Politics,1,241,
451,ignatow2017introduction,"Ignatow, Gabe; Mihalcea, Rada","An Introduction to Text Mining: Research Design, Data Collection, and Analysis",2017,,1,0,
452,imai2005get,"Imai, Kosuke",Do get-out-the-vote calls reduce turnout? The importance of statistical methods for field experiments,2005,American Political Science Review,1,222,
453,imai2009essential,"Imai, Kosuke; King, Gary; Nall, Clayton; others","The essential role of pair matching in cluster-randomized experiments, with application to the Mexican universal health insurance evaluation",2009,Statistical Science,1,158,
454,imai2012statistical,"Imai, Kosuke; Tingley, Dustin",A statistical method for empirical testing of competing theories,2012,American Journal of Political Science,1,61,
455,imai2012use,"Imai, Kosuke; Kim, In Song",On the use of linear fixed effects regression models for causal inference,2012,,1,18,
456,imai2016fast,"Imai, Kosuke; Lo, James; Olmsted, Jonathan",Fast estimation of ideal points with massive data,2016,American Political Science Review,2,22,
457,imai2016measuring,"Imai, Kosuke; Kim, In Song; Liao, Steven",Measuring Trade Profiles with Two Billion Observations of Product Trade,2016,,1,0,
458,imai2016should,"Imai, Kosuke; Kim, In Song",When Should We Use Linear Fixed Effects Regression Models for Causal Inference with Longitudinal Data?,2016,"Princeton University, August",2,11,
459,imai2017quantitative,"Imai, Kosuke",Quantitative social science: an introduction,2017,,2,4,
460,imbens2004nonparametric,"Imbens, Guido W.",Nonparametric estimation of average treatment effects under exogeneity: A review,2004,Review of Economics and statistics,1,2418,
461,imbens2008regression,"Imbens, Guido W.; Lemieux, Thomas",Regression discontinuity designs: A guide to practice,2008,Journal of econometrics,1,2798,
462,imbens2010better,"Imbens, Guido W.",Better LATE than nothing: Some comments on Deaton (2009) and Heckman and Urzua (2009),2010,Journal of Economic literature,1,379,
463,irmer2013inferring,"Irmer, Matthias",Inferring implicatures and discourse relations from frame information,2013,Lingua,1,10,
464,iyengar2010cross,"Iyengar, Shanto; Curran, James; Lund, Anker Brink; Salovaara-Moring, Inka; Hahn, Kyu S.; Coen, Sharon",Cross-National versus individual-level differences in political information: a media systems perspective,2010,"Journal of Elections, Public Opinion and Parties",1,125,
465,iyyer2014political,"Iyyer, Mohit; Enns, Peter; Boyd-Graber, Jordan; Resnik, Philip",Political ideology detection using recursive neural networks,2014,,1,86,
466,jackman1996renaissance,"Jackman, Robert W.; Miller, Ross A.",A renaissance of political culture?,1996,American Journal of Political Science,1,415,
467,jackman1998social,"Jackman, Robert W.; Miller, Ross A.",Social capital and politics,1998,Annual review of political science,1,457,
468,jackman2000estimation,"Jackman, Simon",Estimation and inference via Bayesian simulation: An introduction to Markov chain Monte Carlo,2000,American Journal of Political Science,4,340,8
469,jackman2004bayesian,"Jackman, Simon",Bayesian analysis for political research,2004,Annu. Rev. Polit. Sci.,1,106,
470,jackman2006data,"Jackman, Simon",Data from the Web into R,2006,The Political Methodologist,2,12,
471,jackman2009bayesian,"Jackman, Simon",Bayesian analysis for the social sciences,2009,,4,608,8
472,jacobs2016bringing,"Jacobs, Paul D.",Bringing the states back in: Institutional determinants of state-level immigration policies,2016,,1,0,
473,jager2017potential,"Jager, Kai",The potential of online sampling for studying political activists around the world and across time,2017,Political analysis,1,0,
474,jamal2015anti,"Jamal, Amaney A.; Keohane, Robert O.; Romney, David; Tingley, Dustin",Anti-Americanism and anti-interventionism in Arabic Twitter discourses,2015,Perspectives on Politics,3,27,5
475,james2013introduction,"James, Gareth; Witten, Daniela; Hastie, Trevor; Tibshirani, Robert",An introduction to statistical learning,2013,,10,2615,8
476,james2013principles,"James, William",The principles of psychology,2013,,1,39911,
477,janoski2010ironies,"Janoski, Thomas",The ironies of citizenship: Naturalization and integration in industrialized countries,2010,,1,161,
478,janssens2014data,"Janssens, Jeroen",Data science at the command line: facing the future with time-tested tools,2014,,1,9,
479,jasny2017fostering,"Jasny, B. R.; Wigginton, N.; McNutt, M.; Bubela, T.; Buck, S.; Cook-Deegan, R.; Gardner, T.; Hanson, B.; Hustad, C.; Kiermer, V.; others",Fostering reproducibility in industry-academia research,2017,Science,1,4,
480,jensen2007digital,"Jensen, Robert","The digital provide: Information (technology), market performance, and welfare in the South Indian fisheries sector",2007,The quarterly journal of economics,1,1450,
481,jensen2012political,"Jensen, Jacob; Naidu, Suresh; Kaplan, Ethan; Wilse-Samson, Laurence; Gergen, David; Zuckerman, Michael; Spirling, Arthur",Political polarization and the dynamics of political language: Evidence from 130 years of partisan speech [with comments and discussion],2012,Brookings Papers on Economic Activity,2,34,
482,jessee2017don,"Jessee, Stephen A.","Don't Know Responses, Personality, and the Measurement of Political Knowledge",2017,Political Science Research and Methods,1,4,
483,ji2014one,"Ji, Yangfeng; Eisenstein, Jacob",One vector is not enough: Entity-augmented distributional semantics for discourse relations,2014,arXiv preprint arXiv:1411.6699,1,55,
484,jiang2012information,"Jiang, Jing",Information extraction from text,2012,,1,89,
485,jivani2011comparative,"Jivani, Anjali Ganesh; others",A comparative study of stemming algorithms,2011,Int. J. Comp. Tech. Appl,1,154,
486,jockers2014text,"Jockers, Matthew Lee",Text analysis with R for students of literature,2014,,3,97,10
487,jockersnovel,"Jockers, Matthew L.",A novel method for detecting plot (Jun 2014),2014,,2,2,
488,johnson2006ordinal,"Johnson, Valen E.; Albert, James H.",Ordinal data modeling,2006,,1,599,
489,jones2009hit,"Jones, Benjamin F.; Olken, Benjamin A.",Hit or miss? The effect of assassinations on institutions and war,2009,American Economic Journal: Macroeconomics,1,143,
490,joty2015codra,"Joty, Shafiq; Carenini, Giuseppe; Ng, Raymond T.",Codra: A novel discriminative framework for rhetorical analysis,2015,Computational Linguistics,1,35,
491,jurafsky2000speech,"Jurafsky, Daniel; Martin, James H.",Speech and Language Processing Prentice Hall,2000,"Englewood Cliffs, New Jersey",8,8638,2
492,jurgens2016tutorial,"Jurgens, Pascal; Jungherr, Andreas","A Tutorial for Using Twitter Data in the Social Sciences: Data Collection, Preparation, and Analysis",2016,,1,3,
493,justesen2014sammenligning,"Justesen, Mogens Kamp; Klemmensen, Robert","Sammenligning af sammenlignelige observationer: Kausalitet, matching og observationsdata",2014,Politica,1,2,
494,kahneman2011thinking,"Kahneman, Daniel","Thinking, fast and slow",2011,,1,16338,
495,kaplan2013bringing,"Kaplan, Robert M.; Stone, Arthur A.",Bringing the laboratory and clinic to the community: mobile technologies for health promotion and disease prevention,2013,Annual Review of Psychology,1,100,
496,karpathy2015unreasonable,"Karpathy, Andrej",The unreasonable effectiveness of recurrent neural networks,2015,Andrej Karpathy blog,1,104,
497,kass1995bayes,"Kass, Robert E.; Raftery, Adrian E.",Bayes factors,1995,Journal of the american statistical association,1,11097,
498,katz1999statistical,"Katz, Jonathan N.; King, Gary",A Statistical Model for Multiparty Electoral Data,1999,,2,335,
499,kellstedt2013fundamentals,"Kellstedt, Paul M.; Whitten, Guy D.",The fundamentals of political science research,2013,,1,143,
500,kern2009opium,"Kern, Holger Lutz; Hainmueller, Jens",Opium for the masses: How foreign media can stabilize authoritarian regimes,2009,Political Analysis,1,159,
501,kevin2012machine,"Kevin, Murphy",Machine learning: a probabilistic perspective,2012,,2,3325,
502,khatib2011algorithm,"Khatib, Firas; Cooper, Seth; Tyka, Michael D.; Xu, Kefan; Makedon, Ilya; Popovic, Zoran; Baker, David",Algorithm discovery by protein folding game players,2011,Proceedings of the National Academy of Sciences,1,339,
503,khong1992analogies,"Khong, Yuen Foong","Analogies at War: Korea, Munich, Dien Bien Phu, and the Vietnam Decisions of 1965",1992,,1,946,
504,kim2014voting,"Kim, In Song; Londregan, John; Ratkovic, Marc","Voting, Speechmaking, and the Dimensions of Conflict in the US Senate",2014,,2,9,
505,kim2016estimating,"Kim, In Song; Londregan, John; Ratkovic, Marc",Estimating Spatial Preferences from Votes and Text,2016,Political Analysis,2,3,
506,kim2017political,"Kim, In Song",Political cleavages within industry: firm-level lobbying for trade liberalization,2017,American Political Science Review,2,60,
507,kim2018mapping,"Kim, In Song; Kunisky, Dmitriy",Mapping Political Communities: A Statistical Analysis of Lobbying Networks in Legislative Politics,2018,,1,0,
508,king1994designing,"King, Gary; Keohane, Robert O.; Verba, Sidney",Designing social inquiry: Scientific inference in qualitative research,1994,,3,9560,1
509,king2000making,"King, Gary; Tomz, Michael; Wittenberg, Jason",Making the most of statistical analyses: Improving interpretation and presentation,2000,American journal of political science,1,3645,
510,king2001improving,"King, Gary; Zeng, Langche",Improving forecasts of state failure,2001,World Politics,1,381,
511,king2003automated,"King, Gary; Lowe, Will",An automated information extraction tool for international conflict data with performance as good as human coders: A rare events evaluation design,2003,International Organization,2,437,
512,king2008defining,"King, Ronald F.; Marian, Cosmin Gabriel",Defining political science: A cross-national survey,2008,European Political Science,1,8,
513,king2011ensuring,"King, Gary",Ensuring the data-rich future of the social sciences,2011,science,2,312,
514,king2013censorship,"King, Gary; Pan, Jennifer; Roberts, Margaret E.",How censorship in China allows government criticism but silences collective expression,2013,American Political Science Review,5,913,5
515,king2014reverse,"King, Gary; Pan, Jennifer; Roberts, Margaret E.",Reverse-engineering censorship in China: Randomized experimentation and participant observation,2014,Science,1,144,
516,king2017computer,"King, Gary; Lam, Patrick; Roberts, Margaret E.",Computer-Assisted Keyword and Document Set Discovery from Unstructured Text,2017,American Journal of Political Science,4,20,5
517,klavsnja2016measuring,"Klasnja, Marko; Barbera, Pablo; Beauchamp, Nick; Nagler, Jonathan; Tucker, Joshua",Measuring public opinion with social media data,2016,,2,1,
518,Kleinberg:2002:BHS:775047.775061,"Kleinberg, Jon",Bursty and Hierarchical Structure in Streams,2002,,1,1772,
519,kleinberg2017human,"Kleinberg, Jon; Lakkaraju, Himabindu; Leskovec, Jure; Ludwig, Jens; Mullainathan, Sendhil",Human decisions and machine predictions,2017,The Quarterly Journal of Economics,1,45,
520,klemmensen2007estimating,"Klemmensen, Robert; Hobolt, Sara Binzer; Hansen, Martin Ejnar",Estimating policy positions using political texts: An evaluation of the Wordscores approach,2007,Electoral Studies,2,119,
521,klingemann2006mapping,"Klingemann, Hans-Dieter","Mapping policy preferences II: estimates for parties, electors, and governments in Eastern Europe, European Union, and OECD 1990-2003",2006,,2,1208,
522,kluver2009measuring,"Kluver, Heike",Measuring interest group influence using quantitative text analysis,2009,European Union Politics,3,178,2
523,knox2017general,"Knox, Dean; Lucas, Christopher",A General Approach to Classifying Mode of Speech: The Speaker-Affect Model for Audio Data,2017,Unpublished manuscript,2,0,
524,kohavi2012trustworthy,"Kohavi, Ron; Deng, Alex; Frasca, Brian; Longbotham, Roger; Walker, Toby; Xu, Ya",Trustworthy online controlled experiments: Five puzzling outcomes explained,2012,,1,111,
525,kolaczyk2014statistical,"Kolaczyk, Eric D.; Csardi, Gabor",Statistical analysis of network data with R,2014,,1,141,
526,kopczuk2010earnings,"Kopczuk, Wojciech; Saez, Emmanuel; Song, Jae",Earnings inequality and mobility in the United States: evidence from social security data since 1937,2010,The Quarterly Journal of Economics,1,412,
527,kosinski2016mining,"Kosinski, Michal; Wang, Yilun; Lakkaraju, Himabindu; Leskovec, Jure",Mining big data to extract patterns and predict real-life outcomes.,2016,Psychological methods,1,24,
528,kossinets2006empirical,"Kossinets, Gueorgi; Watts, Duncan J.",Empirical analysis of an evolving social network,2006,science,1,1462,
529,kraft2016embedding,"Kraft, Peter; Jain, Hirsh; Rush, Alexander M.",An Embedding Model for Predicting Roll-Call Votes,2016,,1,0,
530,kramer2014experimental,"Kramer, Adam D. I.; Guillory, Jamie E.; Hancock, Jeffrey T.",Experimental evidence of massive-scale emotional contagion through social networks,2014,Proceedings of the National Academy of Sciences,3,1197,7
531,krause2005basics,"Krause, Andreas; Olson, Melvin",The basics of S-Plus,2005,,1,166,
532,krippendorf2013content,"Krippendorf, K.",Content analysis: an introduction to its methodology. Sage,2013,"Thousand Oaks, CA",9,10,1
533,kruschke2013posterior,"Kruschke, John K.","Posterior predictive checks can and should be Bayesian: comment on Gelman and Shalizi, Philosophy and the practice of Bayesian statistics",2013,British Journal of Mathematical and Statistical Psychology,1,21,
534,kruschke2014doing,"Kruschke, John","Doing Bayesian data analysis: A tutorial with R, JAGS, and Stan",2014,,1,1279,
535,kumar2012text,"Kumar, A.  Anil; Chandrasekhar, S.",Text data pre-processing and dimensionality reduction techniques for document clustering,2012,International Journal of Engineering Research \& Technology (IJERT),1,16,
536,labov1997some,"Labov, William",Some further steps in narrative analysis.,1997,,1,994,
537,ladd2009exploiting,"Ladd, Jonathan McDonald; Lenz, Gabriel S.",Exploiting a rare communication shift to document the persuasive power of the news media,2009,American Journal of Political Science,2,137,
538,lafferty2006correlated,"Lafferty, John D.; Blei, David M.",Correlated topic models,2006,,1,695,
539,lahlou1996method,"Lahlou, Saadi",A method to extract social representations from linguistic corpora,1996,The Japanese Journal of Experimental Social Psychology,1,60,
540,lajous2010mobile,"Lajous, Martin; Danon, Leon; Lopez-Ridaura, Ruy; Astley, Christina M.; Miller, Joel C.; Dowell, Scott F.; O'Hagan, Justin J.; Goldstein, Edward; Lipsitch, Marc","Mobile messaging as surveillance tool during pandemic (H1N1) 2009, Mexico",2010,Emerging Infectious Diseases,1,12,
541,lakoff2010toward,"Lakoff, George; Narayanan, Srini",Toward a computational model of narrative.,2010,,1,20,
542,lampos2013user,"Lampos, Vasileios; Preotiuc-Pietro, Daniel; Cohn, Trevor",A user-centric model of voting intention from Social Media,2013,,1,60,
543,landauer1998introduction,"Landauer, Thomas K.; Foltz, Peter W.; Laham, Darrell",An introduction to latent semantic analysis,1998,Discourse processes,3,4646,2
544,lander2014r,"Lander, Jared P.",R for everyone: Advanced analytics and graphics,2014,,1,21,
545,landis2011separating,"Landis, Stephen; D'Orazio, Vito; Palmer, Glenn; Schrodt, Philip A.",Separating the wheat from the chaff: Application of two-step support vector machines to MID 4 text classification,2011,,1,4,
546,lang2007r,"Lang, Duncan Temple",R as a Web Client--the RCurl package,2007,Journal of Statistical Software,1,18,
547,langer2017all,"Langer, Ana Ines; Sagarzazu, Inaki",Are All Policy Decisions Equal? Explaining the Variation in Media Coverage of the UK Budget,2017,Policy Studies Journal,2,3,
548,lantz2013machine,"Lantz, Brett",Machine learning with R,2013,,4,160,10
549,larcker2012detecting,"Larcker, David F.; Zakolyukina, Anastasia A.",Detecting deceptive discussions in conference calls,2012,Journal of Accounting Research,1,248,
550,lauderdale2010unpredictable,"Lauderdale, Benjamin E.",Unpredictable voters in ideal point estimation,2010,Political Analysis,1,55,
551,lauderdale2014scaling,"Lauderdale, Benjamin E.; Clark, Tom S.",Scaling politically meaningful dimensions using texts and votes,2014,American Journal of Political Science,2,64,
552,lauderdale2016measuring,"Lauderdale, Benjamin E.; Herzog, Alexander",Measuring political positions from legislative speech,2016,Political Analysis,3,18,6
553,laver2000estimating,"Laver, Michael; Garry, John",Estimating policy positions from political texts,2000,American Journal of Political Science,11,653,3
554,laver2003extracting,"Laver, Michael; Benoit, Kenneth; Garry, John",Extracting policy positions from political texts using words as data,2003,American Political Science Review,20,1218,4
555,lazer2009life,"Lazer, David; Pentland, Alex Sandy; Adamic, Lada; Aral, Sinan; Barabasi, Albert Laszlo; Brewer, Devon; Christakis, Nicholas; Contractor, Noshir; Fowler, James; Gutmann, Myron; others",Life in the network: the coming age of computational social science,2009,"Science (New York, NY)",5,2393,1
556,lazer2014parable,"Lazer, David; Kennedy, Ryan; King, Gary; Vespignani, Alessandro",The parable of Google Flu: traps in big data analysis,2014,Science,3,1152,1
557,lazer2017data,"Lazer, David; Radford, Jason",Data ex Machina: Introduction to Big Data,2017,Annual Review of Sociology,4,11,1
558,lecun2015deep,"LeCun, Yann; Bengio, Yoshua; Hinton, Geoffrey",Deep learning,2015,nature,1,6706,
559,lee2008randomized,"Lee, David S.",Randomized experiments from non-random selection in US House elections,2008,Journal of Econometrics,1,1325,
560,leemann2014strategy,"Leemann, Lucas",Strategy and sample selection: A strategic selection estimator,2014,Political Analysis,1,7,
561,leng1987behavioral,"Leng, Russell J.","Behavioral Correlates of War, 1816-1979",1987,,1,39,
562,leng1988militarized,"Leng, Russell J.; Singer, J.  David",Militarized interstate crises: The BCOW typology and its applications,1988,International Studies Quarterly,1,71,
563,leopold2008political,"Leopold, David; Stears, Marc",Political theory: methods and approaches,2008,,1,45,
564,lepore2015cobweb,"Lepore, Jill",e Cobweb: Can the Internet be archived? e New Yorker (2015),2015,,1,2,
565,leskovec2009meme,"Leskovec, Jure; Backstrom, Lars; Kleinberg, Jon",Meme-tracking and the dynamics of the news cycle,2009,,1,1349,
566,leskovec2014mining,"Leskovec, Jure; Rajaraman, Anand; Ullman, Jeffrey David",Mining of massive datasets,2014,,1,1938,
567,lewis2017coherence,"Lewis, Diana",Coherence Relations and Information Structure in English and French Political Speeches,2017,,1,0,
568,lichbach2013democratic,"Lichbach, Mark I.",Democratic theory and causal methodology in comparative politics,2013,,1,3,
